,10,50,100,200,500,1000,2000,5000,10000,20000,50000,100000
QSort,0.00024,0.00223,0.00329,0.00855,0.02768,0.07046,0.18784,0.53009,1.19816,2.56477,6.35653,11.2722
Merge,0.00059,0.00403,0.0069,0.01535,0.04203,0.11879,0.25328,0.66987,1.4578,3.06947,7.19766,13.1576
Insertion,0.00011,0.00155,0.00511,0.01726,0.10789,0.45349,1.76538,10.6743,43.5754,176.624,1027.08,3584.16
